date,latitude,longitude,depth,magnitude,magnitude_type,MD,ML,Mw,Ms,location,provider
2025-11-20T06:17:59,37.3487,37.1002,4.6,1.8,ML,,1.8,,,SARIERIK-PAZARCIK (KAHRAMANMARAS),KOERI
2025-11-20T06:07:14,39.2415,28.134,14.8,1.5,ML,,1.5,,,MANDIRA-SINDIRGI (BALIKESIR),KOERI
2025-11-20T05:58:07,39.1595,28.2443,16.5,1.8,ML,,1.8,,,BAYRAKLI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T05:53:43,39.143,28.2043,9.7,1.4,ML,,1.4,,,AKTAS-SINDIRGI (BALIKESIR),KOERI
2025-11-20T05:43:13,36.3617,28.669,9.5,1.4,ML,,1.4,,,AKDENIZ,KOERI
2025-11-20T05:20:09,39.184,28.2313,7.6,1.7,ML,,1.7,,,ILICA-SINDIRGI (BALIKESIR),KOERI
2025-11-20T04:54:15,39.2103,27.9447,4.2,1.4,ML,,1.4,,,DUALAR-KIRKAGAC (MANISA),KOERI
2025-11-20T04:36:02,40.8105,28.375,12.3,2.4,ML,,2.4,,,MARMARA DENIZI,KOERI
2025-11-20T04:01:17,39.2025,28.0693,11.6,2.6,ML,,2.6,,,KERTIL-SINDIRGI (BALIKESIR),KOERI
2025-11-20T03:52:01,39.177,28.2315,12.7,1.7,ML,,1.7,,,BAYRAKLI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T03:39:36,38.1285,36.923,3.6,2.8,ML,,2.8,,,KEMALPASA-GOKSUN (KAHRAMANMARAS),KOERI
2025-11-20T03:39:00,39.2143,28.1742,13.6,1.4,ML,,1.4,,,YAYLACIK-SINDIRGI (BALIKESIR),KOERI
2025-11-20T03:37:10,39.0692,28.2372,14.1,1.4,ML,,1.4,,,CICEKLI-GORDES (MANISA),KOERI
2025-11-20T03:35:14,39.1725,28.21,13.6,2.1,ML,,2.1,,,AKTAS-SINDIRGI (BALIKESIR),KOERI
2025-11-20T03:30:50,39.1537,28.2677,18.7,1.5,ML,,1.5,,,BAYRAKLI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T02:57:16,39.1213,28.274,8.1,1.7,ML,,1.7,,,YUREGIL-SINDIRGI (BALIKESIR),KOERI
2025-11-20T02:15:40,39.2132,28.8013,12.4,1.4,ML,,1.4,,,EFIR-SIMAV (KUTAHYA),KOERI
2025-11-20T02:08:44,39.2218,28.1242,8.4,1.6,ML,,1.6,,,BAYIRLI-SINDIRGI (BALIKESIR),KOERI
2025-11-20T02:07:47,39.18,28.3035,12.3,1.6,ML,,1.6,,,BUYUKDAGDERE-SINDIRGI (BALIKESIR),KOERI
2025-11-20T01:59:43,39.1638,28.1975,13.5,1.5,ML,,1.5,,,AKTAS-SINDIRGI (BALIKESIR),KOERI
