segment_id,start_km,end_km,center_km,segment_length,earthquake_count,max_magnitude,avg_magnitude,is_gap,activity_ratio,fault_name
6,114.91712707300101,134.06998158516785,124.49355432908443,19.15285451216684,2,5.3,4.699999999999999,True,0.2641509433962264,Kuzey Anadolu Fayı - Erzincan Segmenti
0,0.0,17.218679966600536,8.609339983300268,17.218679966600536,5,4.9,4.36,False,2.692307692307692,Kuzey Anadolu Fayı - Niksar Segmenti
1,17.218679966600536,34.43735993320107,25.828019949900806,17.218679966600536,1,4.3,4.3,False,0.5384615384615384,Kuzey Anadolu Fayı - Niksar Segmenti
2,34.43735993320107,51.65603989980161,43.04669991650134,17.21867996660054,4,4.9,4.275,False,2.1538461538461537,Kuzey Anadolu Fayı - Niksar Segmenti
3,51.65603989980161,68.87471986640215,60.26537988310188,17.218679966600533,1,4.0,4.0,False,0.5384615384615384,Kuzey Anadolu Fayı - Niksar Segmenti
4,68.87471986640215,86.09339983300268,77.48405984970242,17.218679966600533,1,4.1,4.1,False,0.5384615384615384,Kuzey Anadolu Fayı - Niksar Segmenti
5,86.09339983300268,103.31207979960323,94.70273981630295,17.218679966600547,0,0.0,0.0,True,0.0,Kuzey Anadolu Fayı - Niksar Segmenti
6,103.31207979960323,120.53075976620374,111.92141978290348,17.21867996660052,1,4.1,4.1,False,0.5384615384615384,Kuzey Anadolu Fayı - Niksar Segmenti
0,0.0,18.394425932939864,9.197212966469932,18.394425932939864,6,4.7,4.183333333333333,False,1.125,Kuzey Anadolu Fayı - Tosya Segmenti
1,18.394425932939864,36.78885186587973,27.591638899409794,18.394425932939864,2,4.5,4.25,False,0.375,Kuzey Anadolu Fayı - Tosya Segmenti
2,36.78885186587973,55.18327779881959,45.986064832349655,18.39442593293986,1,4.2,4.2,True,0.1875,Kuzey Anadolu Fayı - Tosya Segmenti
3,55.18327779881959,73.57770373175946,64.38049076528952,18.394425932939868,4,4.1,4.05,False,0.75,Kuzey Anadolu Fayı - Tosya Segmenti
4,73.57770373175946,91.97212966469932,82.77491669822939,18.394425932939868,0,0.0,0.0,True,0.0,Kuzey Anadolu Fayı - Tosya Segmenti
